## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT ./5.Analisis_mapeo/mapeo_sorted.bam --OUTPUT ./6.Limpieza_duplicados/mapeo_dedup.bam --METRICS_FILE ./6.Limpieza_duplicados/MarkDuplicatesMetrics.txt --ASSUME_SORTED true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 08 22:03:42 CEST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	895	14153715	139757338	19251	262	5543926	0	0.391691	12953227

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	5827130	5827130
2.0	1.335317	1597612	1597612
3.0	1.447755	582084	582084
4.0	1.485457	258044	258044
5.0	1.498099	134314	134314
6.0	1.502338	76993	76993
7.0	1.50376	46677	46677
8.0	1.504236	28862	28862
9.0	1.504396	18442	18442
10.0	1.50445	12196	12196
11.0	1.504468	8309	8309
12.0	1.504474	5443	5443
13.0	1.504476	3787	3787
14.0	1.504476	2691	2691
15.0	1.504477	1949	1949
16.0	1.504477	1340	1340
17.0	1.504477	1022	1022
18.0	1.504477	715	715
19.0	1.504477	495	495
20.0	1.504477	410	410
21.0	1.504477	298	298
22.0	1.504477	231	231
23.0	1.504477	172	172
24.0	1.504477	100	100
25.0	1.504477	92	92
26.0	1.504477	78	78
27.0	1.504477	51	51
28.0	1.504477	38	38
29.0	1.504477	47	47
30.0	1.504477	34	34
31.0	1.504477	24	24
32.0	1.504477	22	22
33.0	1.504477	23	23
34.0	1.504477	6	6
35.0	1.504477	5	5
36.0	1.504477	6	6
37.0	1.504477	7	7
38.0	1.504477	4	4
39.0	1.504477	8	8
40.0	1.504477	5	5
41.0	1.504477	2	2
42.0	1.504477	6	6
43.0	1.504477	1	1
44.0	1.504477	1	1
45.0	1.504477	2	2
46.0	1.504477	1	1
47.0	1.504477	0	0
48.0	1.504477	1	1
49.0	1.504477	1	1
50.0	1.504477	1	1
51.0	1.504477	1	1
52.0	1.504477	0	0
53.0	1.504477	0	0
54.0	1.504477	0	0
55.0	1.504477	0	0
56.0	1.504477	2	2
57.0	1.504477	1	1
58.0	1.504477	1	1
59.0	1.504477	0	0
60.0	1.504477	0	0
61.0	1.504477	0	0
62.0	1.504477	0	0
63.0	1.504477	1	1
64.0	1.504477	0	0
65.0	1.504477	0	0
66.0	1.504477	0	0
67.0	1.504477	0	0
68.0	1.504477	0	0
69.0	1.504477	0	0
70.0	1.504477	1	1
71.0	1.504477	0	0
72.0	1.504477	0	0
73.0	1.504477	0	0
74.0	1.504477	0	0
75.0	1.504477	0	0
76.0	1.504477	0	0
77.0	1.504477	0	0
78.0	1.504477	0	0
79.0	1.504477	0	0
80.0	1.504477	0	0
81.0	1.504477	0	0
82.0	1.504477	0	0
83.0	1.504477	0	0
84.0	1.504477	0	0
85.0	1.504477	0	0
86.0	1.504477	0	0
87.0	1.504477	0	0
88.0	1.504477	0	0
89.0	1.504477	0	0
90.0	1.504477	0	0
91.0	1.504477	0	0
92.0	1.504477	0	0
93.0	1.504477	0	0
94.0	1.504477	0	0
95.0	1.504477	0	0
96.0	1.504477	0	0
97.0	1.504477	0	0
98.0	1.504477	0	0
99.0	1.504477	0	0
100.0	1.504477	0	0

